application_id,customer_id,application_date,uf,channel,age,gender,education,employment_type,months_employed,monthly_income,bank_relationship_months,marital_status,dependents,housing_status,credit_history_months,previous_loans,previous_defaults,bureau_inquiries_90d,open_credit_lines,credit_utilization,delinquency_12m,avg_payment_delay_days,monthly_existing_debt,requested_amount,loan_purpose,term_months,estimated_installment,debt_to_income,digital_behavior_score,device_age_months,email_age_months,phone_verified,document_consistency,ip_risk_score,credit_score_internal,risk_band,approved,approved_amount,interest_rate_monthly,default_90d,fraud_confirmed
APP0006940,CUST006940,2024-01-01,RJ,app_android,28,M,fundamental,aposentado,47,5615.97,23,divorciado,2,alugado,89,0,0,1,8,0.585,0,4.1,2157.72,4244.89,renegociacao,9,557.97,0.484,75.1,8,21,1,1,23.0,599,D,1,4244.89,0.0885,0,0
APP0003347,CUST003347,2024-01-01,SP,whatsapp,39,M,fundamental,autonomo,57,2236.15,31,solteiro,0,proprio_financiado,101,0,0,0,2,0.585,0,2.3,1097.8,8260.12,educacao,12,854.79,0.873,43.4,0,58,1,1,22.0,593,D,1,6422.79,0.0716,1,0
APP0007002,CUST007002,2024-01-01,SP,app_android,44,F,pos_graduacao,CLT,43,9039.83,13,solteiro,0,alugado,98,1,0,2,2,0.27,1,1.8,1628.9,3772.07,consumo,36,185.9,0.201,73.9,10,37,1,1,8.0,727,B,0,0.0,0.0341,0,0
APP0003116,CUST003116,2024-01-01,CE,app_android,40,NA,superior_incompleto,autonomo,24,1280.46,5,casado,0,alugado,228,6,2,1,7,0.775,0,0.3,729.2,4815.51,capital_giro,18,365.1,0.855,100.0,6,8,1,1,18.8,396,E,0,0.0,0.1031,0,0
APP0007263,CUST007263,2024-01-01,SC,app_ios,29,M,superior_incompleto,CLT,62,1504.64,52,casado,2,alugado,87,1,0,0,2,0.373,0,1.3,645.36,6129.1,reforma,12,634.26,0.85,71.6,18,30,1,0,1.0,586,D,0,0.0,0.071,0,0
APP0004008,CUST004008,2024-01-01,MG,app_ios,43,F,medio,CLT,67,1065.23,20,casado,2,alugado,67,2,1,2,3,0.739,0,3.5,387.52,5041.26,educacao,36,248.45,0.597,23.9,9,42,1,1,0.5,465,E,1,5041.26,0.0958,0,0
APP0007346,CUST007346,2024-01-01,SP,web,18,M,medio,servidor_publico,41,3382.02,16,casado,0,proprio_quitado,0,0,0,0,3,0.592,0,11.4,417.86,3747.9,consumo,18,284.15,0.208,62.2,8,97,1,0,27.2,657,C,0,0.0,0.0486,0,0
APP0001329,CUST001329,2024-01-01,SC,parceiro,47,M,medio,aposentado,60,3275.54,16,casado,2,alugado,233,1,0,0,1,0.478,0,3.5,414.0,1162.58,consumo,12,120.31,0.163,45.8,15,28,1,1,0.9,728,B,0,0.0,0.0358,0,0
APP0000346,CUST000346,2024-01-01,RS,web,27,F,medio,CLT,29,1829.64,18,uniao_estavel,5,familia,40,0,0,1,2,0.371,0,4.2,528.66,12744.87,consumo,6,2391.81,1.596,58.4,30,60,1,1,3.5,543,D,0,0.0,0.0776,0,0
APP0007401,CUST007401,2024-01-01,SP,app_ios,27,NA,superior_incompleto,CLT,31,3568.05,32,solteiro,0,proprio_quitado,73,0,0,1,2,0.355,1,4.1,1749.42,6172.89,renegociacao,18,468.01,0.621,63.4,19,36,1,1,35.4,650,C,0,0.0,0.0633,0,0
